size_bytes,t_waking_s,pid,waker_cpu,target_cpu,waking_to_ipi,ipi_to_idle_exit,idle_exit_to_wakeup,wakeup_to_switch,switch_to_user,waking_to_running_ns,waking_to_user_ns
1024,597588.299974487,1232018,1,0,,,,301,,1988,
1024,597588.300119032,1232018,1,0,,,4641,721,,8480,
1024,597588.300506947,1232018,1,0,3584,,,2598,,6452,
1024,597588.300940419,1232018,1,0,3429,,,1365,,5001,
1024,597588.301083754,1232018,1,0,1788,,,956,,2958,
1024,597588.301187977,1232018,1,0,2824,,,1190,,4281,
1024,597588.301286008,1232018,1,0,2058,,,1555,,3862,
1024,597588.301382385,1232018,1,0,564,1538,708,619,,3429,
1024,597588.301848639,1232018,1,0,783,1647,991,902,,4323,
1024,597588.302745912,1232018,1,0,443,1607,945,598,,3593,
1024,597588.303486839,1232018,1,0,361,1842,573,380,,3156,
1024,597588.303930474,1232018,1,0,270,1577,702,522,,3071,
1024,597588.304418229,1232018,1,0,302,1277,581,2966,,5126,
1024,597588.304606142,1232018,1,0,243,3702,743,648,,5336,
1024,597588.305005428,1232018,1,0,237,,,585,,1935,
1024,597588.305108959,1232018,1,0,267,2030,619,626,,3542,
1024,597588.305311145,1232018,1,0,172,,,361,,1570,
1024,597588.305687597,1232018,1,0,237,2623,730,617,,4207,
1024,597588.306153957,1232018,1,0,218,1841,719,563,,3341,
1024,597588.306345136,1232018,1,0,194,1797,723,551,,3265,
1024,597588.306614356,1232018,1,0,234,2458,602,532,,3826,
1024,597588.307071823,1232018,1,0,248,1219,590,404,,2461,
1024,597588.307335365,1232018,1,0,286,1162,691,600,,2739,
1024,597588.307484175,1232018,1,0,232,1852,896,635,,3615,
1024,597588.307651317,1232018,1,0,232,1446,805,571,,3054,
1024,597588.307905485,1232018,1,0,271,1481,907,690,,3349,
1024,597588.308730415,1232018,1,0,214,1577,808,604,,3203,
1024,597588.309230592,1232018,1,0,294,1126,613,407,,2440,
1024,597588.309400429,1232018,1,0,,,,297,,1076,
1024,597588.309480132,1232018,1,0,322,1599,1046,735,,3702,
1024,597588.310104941,1232018,1,0,209,1235,1264,575,,3283,
1024,597588.310257835,1232018,1,0,193,1354,819,574,,2940,
1024,597588.310498761,1232018,1,0,488,1847,904,816,,4055,
1024,597588.311152926,1232018,1,0,180,1215,619,523,,2537,
1024,597588.311423880,1232018,1,0,235,1091,1019,682,,3027,
1024,597588.312165910,1232018,1,0,617,1109,971,412,,3109,
1024,597588.312263260,1232018,1,0,,,,216,,1085,
1024,597588.312311325,1232018,1,0,,,,215,,897,
1024,597588.312387086,1232018,1,0,181,1504,625,373,,2683,
1024,597588.312783048,1232018,1,0,191,,,480,,1626,
1024,597588.313138197,1232018,1,0,1291,1506,839,541,,4177,
1024,597588.313545318,1232018,1,0,275,1800,767,746,,3588,
1024,597588.314168002,1232018,1,0,193,,,327,,2182,
1024,597588.314345499,1232018,1,0,253,1755,582,353,,2943,
1024,597588.314609174,1232018,1,0,234,1206,613,371,,2424,
1024,597588.314946933,1232018,1,0,316,1043,610,386,,2355,
1024,597588.315653545,1232018,1,0,287,1122,670,587,,2666,
1024,597588.316116533,1232018,1,0,202,1776,945,583,,3506,
1024,597588.316659094,1232018,1,0,193,1261,648,599,,2701,
1024,597588.317086356,1232018,1,0,236,1117,627,584,,2564,
1024,597588.317348569,1232018,1,0,317,1345,703,543,,2908,
1024,597588.317730731,1232018,1,0,212,1377,643,819,,3051,
1024,597588.318008614,1232018,1,0,298,1098,843,383,,2622,
1024,597588.318397143,1232018,1,0,203,1028,623,388,,2242,
1024,597588.318851223,1232018,1,0,,,,300,,1875,
1024,597588.319190182,1232018,1,0,198,1558,864,935,,3555,
1024,597588.319418514,1232018,1,0,229,1111,646,2486,,4472,
1024,597588.319462277,1232018,1,0,293,2460,641,659,,4053,
1024,597588.319622215,1232018,1,0,314,1641,981,660,,3596,
1024,597588.320085337,1232018,1,0,213,2037,688,618,,3556,
1024,597588.320395970,1232018,1,0,,,,235,,972,
1024,597588.320769276,1232018,1,0,227,2669,747,510,,4153,
1024,597588.321033610,1232018,1,0,,,,219,,1587,
1024,597588.321235624,1232018,1,0,295,,,358,,1845,
1024,597588.321396942,1232018,1,0,228,,,412,,2187,
1024,597588.321657199,1232018,1,0,181,,,516,,2076,
1024,597588.321955147,1232018,1,0,200,,,493,,2294,
1024,597588.322158975,1232018,1,0,191,,,542,,1711,
1024,597588.322265872,1232018,1,0,176,,,336,,2338,
1024,597588.322475198,1232018,1,0,203,,,346,,1533,
1024,597588.322606332,1232018,1,0,182,,,334,,1458,
1024,597588.322668476,1232018,1,0,387,2566,570,669,,4192,
1024,597588.323083104,1232018,1,0,190,,,360,,1825,
1024,597588.323405269,1232018,1,0,199,,,748,,2166,
1024,597588.323535067,1232018,1,0,212,,,335,,1517,
1024,597588.323701002,1232018,1,0,181,,,574,,1835,
1024,597588.323882195,1232018,1,0,191,,,490,,1702,
1024,597588.324082503,1232018,1,0,1021,,,461,,2744,
1024,597588.324443682,1232018,1,0,181,,,331,,1481,
1024,597588.324853358,1232018,1,0,178,,,458,,1849,
1024,597588.325073214,1232018,1,0,196,,,501,,1733,
1024,597588.325262065,1232018,1,0,166,,,529,,1651,
1024,597588.325394451,1232018,1,0,283,1294,968,360,,2905,
1024,597588.325641981,1232018,1,0,210,,,321,,1431,
1024,597588.325694061,1232018,1,0,354,1532,742,577,,3205,
1024,597588.325950699,1232018,1,0,180,,,344,,1395,
1024,597588.326141068,1232018,1,0,178,,,599,,2249,
1024,597588.326308723,1232018,1,0,285,,,584,,1756,
1024,597588.326423898,1232018,1,0,198,,,570,,1858,
1024,597588.326594911,1232018,1,0,188,,,315,,1930,
1024,597588.326774170,1232018,1,0,209,,,526,,1790,
1024,597588.327071111,1232018,1,0,206,,,540,,2606,
1024,597588.327383444,1232018,1,0,262,,,494,,1848,
1024,597588.327540239,1232018,1,0,200,,,328,,1906,
1024,597588.328054180,1232018,1,0,288,,,367,,1604,
1024,597588.328215440,1232018,1,0,184,,,330,,1493,
1024,597588.328422499,1232018,1,0,179,1652,776,617,,3224,
1024,597588.328951213,1232018,1,0,228,2069,735,756,,3788,
1024,597588.329507274,1232018,1,0,205,,,499,,2013,
1024,597588.329598019,1232018,1,0,227,1826,836,703,,3592,
1024,597588.329955546,1232018,1,0,1273,1963,886,774,,4896,
