size_bytes,t_waking_s,pid,waker_cpu,target_cpu,waking_to_ipi,ipi_to_idle_exit,idle_exit_to_wakeup,wakeup_to_switch,switch_to_user,waking_to_running_ns,waking_to_user_ns
262144,594626.834838121,1204568,0,1,220,736,795,453,22999,2204,25203
262144,594626.834845411,1204566,1,0,212,722,639,416,9193,1989,11182
262144,594626.834856227,1204568,0,1,167,730,675,399,5126,1971,7097
262144,594626.834862942,1204566,1,0,171,739,628,532,12051,2070,14121
262144,594626.834886285,1204568,0,1,848,,,1288,13050,2368,15418
262144,594626.834900667,1204566,1,0,597,,,1388,47938,2180,50118
262144,594626.834909648,1204568,0,1,518,,,867,10986,1576,12562
262144,594626.834921326,1204566,1,0,508,,,791,27978,1481,29459
262144,594626.834930102,1204568,0,1,480,,,922,10922,1614,12536
262144,594626.834941766,1204566,1,0,499,,,958,7378,1641,9019
262144,594626.834949947,1204568,0,1,459,,,596,10933,1226,12159
262144,594626.834967480,1204566,1,0,520,,,860,10949,1552,12501
262144,594626.834979117,1204568,0,1,449,,,930,47672,1569,49241
262144,594626.834987375,1204566,1,0,515,,,822,11270,1504,12774
262144,594626.834999344,1204568,0,1,442,,,1050,27343,1671,29014
262144,594626.835007784,1204566,1,0,517,,,963,10912,1649,12561
262144,594626.835019457,1204568,0,1,536,,,1208,6975,1926,8901
262144,594626.835027445,1204566,1,0,408,,,970,11201,1705,12906
262144,594626.835050057,1204568,0,1,527,,,860,11360,1557,12917
262144,594626.835062160,1204566,1,0,425,,,929,48140,1548,49688
262144,594626.835070396,1204568,0,1,673,,,859,11107,1705,12812
262144,594626.835082382,1204566,1,0,437,,,976,27870,1596,29466
262144,594626.835090784,1204568,0,1,547,,,1076,11012,1793,12805
262144,594626.835102816,1204566,1,0,434,,,958,7461,1571,9032
262144,594626.835111001,1204568,0,1,510,,,782,10228,1463,11691
262144,594626.835128088,1204566,1,0,468,,,875,11569,1526,13095
262144,594626.835140354,1204568,0,1,406,,,880,47028,1536,48564
262144,594626.835148656,1204566,1,0,634,,,831,10336,1638,11974
262144,594626.835159848,1204568,0,1,412,,,1035,27436,1634,29070
262144,594626.835167200,1204566,1,0,457,,,895,11256,1527,12783
262144,594626.835179269,1204568,0,1,356,,,941,8174,1475,9649
262144,594626.835187936,1204566,1,0,596,,,888,10486,1677,12163
262144,594626.835209946,1204568,0,1,423,,,869,11158,1492,12650
262144,594626.835221781,1204566,1,0,408,,,886,47221,1477,48698
262144,594626.835229680,1204568,0,1,587,,,891,10754,1649,12403
262144,594626.835241233,1204566,1,0,396,,,816,27744,1502,29246
262144,594626.835249769,1204568,0,1,526,,,778,10634,1504,12138
262144,594626.835261187,1204566,1,0,388,,,863,7857,1435,9292
262144,594626.835269470,1204568,0,1,539,,,853,10417,1598,12015
262144,594626.835286763,1204566,1,0,425,,,918,11067,1520,12587
262144,594626.835298183,1204568,0,1,449,,,794,48231,1483,49714
262144,594626.835306336,1204566,1,0,554,,,926,10701,1652,12353
262144,594626.835317780,1204568,0,1,526,,,898,28504,1613,30117
262144,594626.835325993,1204566,1,0,548,,,865,11264,1616,12880
262144,594626.835337964,1204568,0,1,417,,,1030,8291,1642,9933
262144,594626.835346862,1204566,1,0,530,,,819,10981,1524,12505
262144,594626.835369292,1204568,0,1,572,,,880,11366,1626,12992
262144,594626.835381429,1204566,1,0,455,,,972,49330,1616,50946
262144,594626.835389656,1204568,0,1,542,,,877,11768,1596,13364
262144,594626.835401861,1204566,1,0,800,,,1196,28343,2171,30514
262144,594626.835410079,1204568,0,1,440,,,906,11913,1518,13431
262144,594626.835422453,1204566,1,0,617,,,1071,8034,1888,9922
262144,594626.835431322,1204568,0,1,620,,,916,11882,1719,13601
262144,594626.835450317,1204566,1,0,687,,,895,12312,1758,14070
262144,594626.835463191,1204568,0,1,695,,,1514,48412,2392,50804
262144,594626.835471005,1204566,1,0,1636,,,866,12073,2703,14776
262144,594626.835484894,1204568,0,1,471,,,1391,27053,2048,29101
262144,594626.835492732,1204566,1,0,385,,,960,11620,1621,13241
262144,594626.835504892,1204568,0,1,598,,,1401,6902,2201,9103
262144,594626.835513036,1204566,1,0,430,,,1631,10336,2225,12561
262144,594626.835531248,1204568,0,1,509,,,1499,11262,2190,13452
262144,594626.835543799,1204566,1,0,439,,,1478,47468,2197,49665
262144,594626.835551503,1204568,0,1,407,,,1531,10835,2136,12971
262144,594626.835563557,1204566,1,0,552,,,1303,27864,2043,29907
262144,594626.835571503,1204568,0,1,451,,,893,11766,1506,13272
262144,594626.835583676,1204566,1,0,484,,,820,8033,1755,9788
262144,594626.835592590,1204568,0,1,498,,,950,11290,1622,12912
262144,594626.835611119,1204566,1,0,535,,,1377,11507,2128,13635
262144,594626.835624003,1204568,0,1,402,,,1581,51135,2176,53311
262144,594626.835632629,1204566,1,0,425,,,974,12020,1590,13610
262144,594626.835645166,1204568,0,1,463,,,862,30543,1605,32148
262144,594626.835654013,1204566,1,0,547,,,901,12191,1673,13864
262144,594626.835667004,1204568,0,1,499,,,893,8726,1584,10310
262144,594626.835676306,1204566,1,0,522,,,1311,11132,2115,13247
262144,594626.835694712,1204568,0,1,404,,,1642,11818,2215,14033
262144,594626.835707580,1204566,1,0,636,,,4058,51701,5048,56749
262144,594626.835718428,1204568,0,1,564,,,1448,11760,2215,13975
262144,594626.835731313,1204566,1,0,501,,,832,31438,1578,33016
262144,594626.835740090,1204568,0,1,591,,,880,11708,1634,13342
262144,594626.835752518,1204566,1,0,451,,,944,10208,1603,11811
